WGS84 UTM 34N
50.14250931108836 18.67150474898517 294.626
50.14250931108836 18.67150474898517 294.626
50.14250931108836 18.67150474898517 294.626
50.14250931108836 18.67150474898517 294.626
50.14250931108836 18.67150474898517 294.626
41.1065970355412 10.467272656969726 294.634
41.1065970355412 10.467272656969726 294.634
41.1065970355412 10.467272656969726 294.634
41.1065970355412 10.467272656969726 294.634
41.1065970355412 10.467272656969726 294.634
32.081448626704514 2.819152389653027 294.64
32.081448626704514 2.819152389653027 294.64
32.081448626704514 2.819152389653027 294.64
32.081448626704514 2.819152389653027 294.64
32.081448626704514 2.819152389653027 294.64
22.986270698485896 -4.862722592428327 294.722
22.986270698485896 -4.862722592428327 294.722
22.986270698485896 -4.862722592428327 294.722
22.986270698485896 -4.862722592428327 294.722
22.986270698485896 -4.862722592428327 294.722
13.647580398712307 -12.924104698002338 294.804
13.647580398712307 -12.924104698002338 294.804
13.647580398712307 -12.924104698002338 294.804
13.647580398712307 -12.924104698002338 294.804
13.647580398712307 -12.924104698002338 294.804
4.526020027464256 -20.90635819453746 294.787
4.526020027464256 -20.90635819453746 294.787
4.526020027464256 -20.90635819453746 294.787
4.526020027464256 -20.90635819453746 294.787
4.526020027464256 -20.90635819453746 294.787
-4.567813639529049 -28.832830253988504 294.808
-4.567813639529049 -28.832830253988504 294.808
-4.567813639529049 -28.832830253988504 294.808
-4.567813639529049 -28.832830253988504 294.808
-4.567813639529049 -28.832830253988504 294.808
-13.836262482916936 -36.91599327791482 294.858
-13.836262482916936 -36.91599327791482 294.858
-13.836262482916936 -36.91599327791482 294.858
-13.836262482916936 -36.91599327791482 294.858
-13.836262482916936 -36.91599327791482 294.858
-23.083356767776422 -45.05461812391877 294.875
-23.083356767776422 -45.05461812391877 294.875
-23.083356767776422 -45.05461812391877 294.875
-23.083356767776422 -45.05461812391877 294.875
-23.083356767776422 -45.05461812391877 294.875
-32.40795742650516 -53.149195096455514 294.905
-32.40795742650516 -53.149195096455514 294.905
-32.40795742650516 -53.149195096455514 294.905
-32.40795742650516 -53.149195096455514 294.905
-32.40795742650516 -53.149195096455514 294.905
-58.6042909277603 -21.029640826396644 294.831
-58.6042909277603 -21.029640826396644 294.831
-58.6042909277603 -21.029640826396644 294.831
-58.6042909277603 -21.029640826396644 294.831
-58.6042909277603 -21.029640826396644 294.831
-49.39234852476511 -12.880163312889636 294.871
-49.39234852476511 -12.880163312889636 294.871
-49.39234852476511 -12.880163312889636 294.871
-49.39234852476511 -12.880163312889636 294.871
-49.39234852476511 -12.880163312889636 294.871
-40.13136164017487 -4.71926265116781 294.93
-40.13136164017487 -4.71926265116781 294.93
-40.13136164017487 -4.71926265116781 294.93
-40.13136164017487 -4.71926265116781 294.93
-40.13136164017487 -4.71926265116781 294.93
-30.891592841013335 3.463772624731064 294.89
-30.891592841013335 3.463772624731064 294.89
-30.891592841013335 3.463772624731064 294.89
-30.891592841013335 3.463772624731064 294.89
-30.891592841013335 3.463772624731064 294.89
-21.666152059216984 11.691223874688148 294.815
-21.666152059216984 11.691223874688148 294.815
-21.666152059216984 11.691223874688148 294.815
-21.666152059216984 11.691223874688148 294.815
-21.666152059216984 11.691223874688148 294.815
-12.448343961499631 20.01873334404081 294.816
-12.448343961499631 20.01873334404081 294.816
-12.448343961499631 20.01873334404081 294.816
-12.448343961499631 20.01873334404081 294.816
-12.448343961499631 20.01873334404081 294.816
-3.41171599610243 28.111669041216373 294.823
-3.41171599610243 28.111669041216373 294.823
-3.41171599610243 28.111669041216373 294.823
-3.41171599610243 28.111669041216373 294.823
-3.41171599610243 28.111669041216373 294.823
5.640026085311547 36.01565791480243 294.927
5.640026085311547 36.01565791480243 294.927
5.640026085311547 36.01565791480243 294.927
5.640026085311547 36.01565791480243 294.927
5.640026085311547 36.01565791480243 294.927
14.901163020404056 44.121056912466884 294.995
14.901163020404056 44.121056912466884 294.995
14.901163020404056 44.121056912466884 294.995
14.901163020404056 44.121056912466884 294.995
14.901163020404056 44.121056912466884 294.995
24.539710622862913 52.506692714989185 295.016
24.539710622862913 52.506692714989185 295.016
24.539710622862913 52.506692714989185 295.016
24.539710622862913 52.506692714989185 295.016
24.539710622862913 52.506692714989185 295.016
-7.90501547337044 81.16435498185456 295.428
-7.90501547337044 81.16435498185456 295.428
-7.90501547337044 81.16435498185456 295.428
-7.90501547337044 81.16435498185456 295.428
-7.90501547337044 81.16435498185456 295.428
-15.710506539791822 73.83480837289244 295.481
-15.710506539791822 73.83480837289244 295.481
-15.710506539791822 73.83480837289244 295.481
-15.710506539791822 73.83480837289244 295.481
-15.710506539791822 73.83480837289244 295.481
-24.540974456700496 65.30938906501979 295.461
-24.540974456700496 65.30938906501979 295.461
-24.540974456700496 65.30938906501979 295.461
-24.540974456700496 65.30938906501979 295.461
-24.540974456700496 65.30938906501979 295.461
-33.75872002507094 56.98190031386912 295.332
-33.75872002507094 56.98190031386912 295.332
-33.75872002507094 56.98190031386912 295.332
-33.75872002507094 56.98190031386912 295.332
-33.75872002507094 56.98190031386912 295.332
-42.99144156894181 48.81003030668944 295.386
-42.99144156894181 48.81003030668944 295.386
-42.99144156894181 48.81003030668944 295.386
-42.99144156894181 48.81003030668944 295.386
-42.99144156894181 48.81003030668944 295.386
-52.30348123435397 40.99357620999217 295.37
-52.30348123435397 40.99357620999217 295.37
-52.30348123435397 40.99357620999217 295.37
-52.30348123435397 40.99357620999217 295.37
-52.30348123435397 40.99357620999217 295.37
-61.46787624328863 33.13351614587009 295.426
-61.46787624328863 33.13351614587009 295.426
